mode: set
1337b04rd/cmd/1337b04rd/main.go:24.13,26.16 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:54.75,58.16 3 0
1337b04rd/internal/adapters/handlers/post_handler.go:58.16,61.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:63.2,64.8 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:67.82,69.16 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:69.16,72.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:74.2,75.8 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:78.84,80.16 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:80.16,83.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:85.2,86.8 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:89.83,91.16 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:91.16,94.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:95.2,95.8 1 0
1337b04rd/internal/adapters/handlers/router.go:8.139,25.2 14 0
1337b04rd/internal/adapters/handlers/user_handler.go:15.70,19.2 1 0
1337b04rd/internal/adapters/handlers/user_handler.go:23.77,25.16 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:25.16,27.17 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:27.17,30.4 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:31.3,33.42 3 0
1337b04rd/internal/adapters/handlers/user_handler.go:36.2,37.16 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:37.16,40.17 3 0
1337b04rd/internal/adapters/handlers/user_handler.go:40.17,43.4 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:44.3,47.17 4 0
1337b04rd/internal/adapters/handlers/user_handler.go:47.17,50.4 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:51.3,52.9 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:54.2,55.40 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:60.68,62.16 2 0
1337b04rd/internal/adapters/handlers/user_handler.go:62.16,64.3 1 0
1337b04rd/internal/adapters/handlers/user_handler.go:66.2,66.23 1 0
1337b04rd/internal/adapters/handlers/user_handler.go:69.79,76.16 5 0
1337b04rd/internal/adapters/handlers/user_handler.go:76.16,80.3 3 0
1337b04rd/internal/adapters/handlers/user_handler.go:81.2,85.16 3 0
1337b04rd/internal/adapters/handlers/user_handler.go:85.16,87.3 1 0
1337b04rd/internal/adapters/handlers/utils.go:13.88,15.56 2 0
1337b04rd/internal/adapters/handlers/utils.go:15.56,17.3 1 0
1337b04rd/internal/adapters/handlers/utils.go:20.87,22.2 1 0
1337b04rd/internal/adapters/handlers/utils.go:26.52,28.16 2 0
1337b04rd/internal/adapters/handlers/utils.go:28.16,31.3 2 0
1337b04rd/internal/adapters/handlers/utils.go:32.2,32.26 1 0
1337b04rd/internal/adapters/handlers/utils.go:37.60,45.2 2 0
1337b04rd/internal/adapters/postgres/comment.go:18.80,22.2 1 0
1337b04rd/internal/adapters/postgres/comment.go:24.96,28.16 3 0
1337b04rd/internal/adapters/postgres/comment.go:28.16,30.3 1 0
1337b04rd/internal/adapters/postgres/comment.go:31.2,54.16 5 0
1337b04rd/internal/adapters/postgres/comment.go:54.16,57.3 2 0
1337b04rd/internal/adapters/postgres/comment.go:59.2,59.32 1 0
1337b04rd/internal/adapters/postgres/comment.go:62.105,79.16 4 0
1337b04rd/internal/adapters/postgres/comment.go:79.16,82.3 2 0
1337b04rd/internal/adapters/postgres/comment.go:83.2,86.18 3 0
1337b04rd/internal/adapters/postgres/comment.go:86.18,101.17 4 0
1337b04rd/internal/adapters/postgres/comment.go:101.17,103.4 1 0
1337b04rd/internal/adapters/postgres/comment.go:105.3,107.40 2 0
1337b04rd/internal/adapters/postgres/comment.go:110.2,110.22 1 0
1337b04rd/internal/adapters/postgres/post.go:19.74,23.2 1 0
1337b04rd/internal/adapters/postgres/post.go:25.93,26.40 1 0
1337b04rd/internal/adapters/postgres/post.go:26.40,28.3 1 0
1337b04rd/internal/adapters/postgres/post.go:30.2,31.16 2 0
1337b04rd/internal/adapters/postgres/post.go:31.16,33.3 1 0
1337b04rd/internal/adapters/postgres/post.go:34.2,55.16 4 0
1337b04rd/internal/adapters/postgres/post.go:55.16,57.3 1 0
1337b04rd/internal/adapters/postgres/post.go:59.2,59.26 1 0
1337b04rd/internal/adapters/postgres/post.go:62.89,92.16 6 0
1337b04rd/internal/adapters/postgres/post.go:92.16,93.36 1 0
1337b04rd/internal/adapters/postgres/post.go:93.36,95.4 1 0
1337b04rd/internal/adapters/postgres/post.go:96.3,96.18 1 0
1337b04rd/internal/adapters/postgres/post.go:100.2,100.22 1 0
1337b04rd/internal/adapters/postgres/post.go:100.22,102.3 1 0
1337b04rd/internal/adapters/postgres/post.go:105.2,107.19 2 0
1337b04rd/internal/adapters/postgres/post.go:110.82,125.16 3 0
1337b04rd/internal/adapters/postgres/post.go:125.16,127.3 1 0
1337b04rd/internal/adapters/postgres/post.go:128.2,131.18 3 0
1337b04rd/internal/adapters/postgres/post.go:131.18,146.17 4 0
1337b04rd/internal/adapters/postgres/post.go:146.17,148.4 1 0
1337b04rd/internal/adapters/postgres/post.go:150.3,152.31 2 0
1337b04rd/internal/adapters/postgres/post.go:155.2,155.19 1 0
1337b04rd/internal/adapters/postgres/post.go:158.84,173.16 3 0
1337b04rd/internal/adapters/postgres/post.go:173.16,175.3 1 0
1337b04rd/internal/adapters/postgres/post.go:176.2,179.18 3 0
1337b04rd/internal/adapters/postgres/post.go:179.18,194.17 4 0
1337b04rd/internal/adapters/postgres/post.go:194.17,196.4 1 0
1337b04rd/internal/adapters/postgres/post.go:198.3,200.31 2 0
1337b04rd/internal/adapters/postgres/post.go:203.2,203.19 1 0
1337b04rd/internal/adapters/postgres/post.go:206.69,210.2 2 0
1337b04rd/internal/adapters/postgres/post.go:212.45,213.14 1 0
1337b04rd/internal/adapters/postgres/post.go:213.14,215.3 1 0
1337b04rd/internal/adapters/postgres/post.go:216.2,216.44 1 0
1337b04rd/internal/adapters/postgres/user.go:16.52,20.2 1 0
1337b04rd/internal/adapters/postgres/user.go:22.99,25.16 3 0
1337b04rd/internal/adapters/postgres/user.go:25.16,27.3 1 0
1337b04rd/internal/adapters/postgres/user.go:28.2,50.16 7 0
1337b04rd/internal/adapters/postgres/user.go:50.16,52.3 1 0
1337b04rd/internal/adapters/postgres/user.go:54.2,54.36 1 0
1337b04rd/internal/adapters/postgres/user.go:57.98,59.16 2 0
1337b04rd/internal/adapters/postgres/user.go:59.16,61.3 1 0
1337b04rd/internal/adapters/postgres/user.go:62.2,89.16 5 0
1337b04rd/internal/adapters/postgres/user.go:89.16,92.3 2 0
1337b04rd/internal/adapters/postgres/user.go:94.2,94.20 1 0
1337b04rd/internal/adapters/postgres/user.go:97.77,100.16 3 0
1337b04rd/internal/adapters/postgres/user.go:100.16,102.3 1 0
1337b04rd/internal/adapters/postgres/user.go:104.2,104.19 1 0
1337b04rd/internal/adapters/postgres/user.go:107.97,127.16 4 0
1337b04rd/internal/adapters/postgres/user.go:127.16,129.3 1 0
1337b04rd/internal/adapters/postgres/user.go:131.2,131.19 1 0
1337b04rd/internal/adapters/fileUtils/fileUtils.go:17.32,19.2 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:21.75,22.47 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:22.47,24.3 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:27.2,27.29 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:27.29,29.3 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:32.2,33.16 2 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:33.16,35.3 1 0
1337b04rd/internal/adapters/fileUtils/fileUtils.go:36.2,40.33 4 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:40.33,42.3 1 0
1337b04rd/internal/adapters/fileUtils/fileUtils.go:44.2,45.44 2 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:45.44,47.3 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:49.2,49.12 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:52.89,53.23 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:53.23,55.3 1 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:56.2,57.16 2 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:57.16,59.3 1 0
1337b04rd/internal/adapters/fileUtils/fileUtils.go:60.2,64.46 3 1
1337b04rd/internal/adapters/fileUtils/fileUtils.go:64.46,66.3 1 0
1337b04rd/internal/adapters/fileUtils/fileUtils.go:68.2,68.25 1 1
1337b04rd/internal/domain/post.go:43.33,44.22 1 0
1337b04rd/internal/domain/post.go:44.22,46.3 1 0
1337b04rd/internal/domain/post.go:47.2,47.24 1 0
1337b04rd/internal/domain/post.go:47.24,49.3 1 0
1337b04rd/internal/domain/post.go:50.2,50.12 1 0
1337b04rd/internal/domain/post.go:43.33,44.22 1 0
1337b04rd/internal/domain/post.go:44.22,46.3 1 0
1337b04rd/internal/domain/post.go:47.2,47.24 1 0
1337b04rd/internal/domain/post.go:47.24,49.3 1 0
1337b04rd/internal/domain/post.go:50.2,50.12 1 0
1337b04rd/internal/services/commentService.go:17.190,25.2 1 0
1337b04rd/internal/services/commentService.go:27.120,32.56 3 0
1337b04rd/internal/services/commentService.go:32.56,35.63 1 0
1337b04rd/internal/services/commentService.go:35.63,38.4 2 0
1337b04rd/internal/services/commentService.go:41.3,42.17 2 0
1337b04rd/internal/services/commentService.go:42.17,45.4 2 0
1337b04rd/internal/services/commentService.go:47.3,48.17 2 0
1337b04rd/internal/services/commentService.go:48.17,51.4 2 0
1337b04rd/internal/services/commentService.go:52.3,52.58 1 0
1337b04rd/internal/services/commentService.go:55.2,61.38 5 0
1337b04rd/internal/services/commentService.go:61.38,63.3 1 0
1337b04rd/internal/services/commentService.go:65.2,66.16 2 0
1337b04rd/internal/services/commentService.go:66.16,68.3 1 0
1337b04rd/internal/services/commentService.go:70.2,74.42 3 0
1337b04rd/internal/services/commentService.go:77.102,79.2 1 0
1337b04rd/internal/services/postService.go:17.178,25.2 1 0
1337b04rd/internal/services/postService.go:27.114,30.53 2 0
1337b04rd/internal/services/postService.go:30.53,33.63 1 0
1337b04rd/internal/services/postService.go:33.63,36.4 2 0
1337b04rd/internal/services/postService.go:39.3,40.17 2 0
1337b04rd/internal/services/postService.go:40.17,43.4 2 0
1337b04rd/internal/services/postService.go:45.3,46.17 2 0
1337b04rd/internal/services/postService.go:46.17,49.4 2 0
1337b04rd/internal/services/postService.go:50.3,50.52 1 0
1337b04rd/internal/services/postService.go:53.2,58.16 5 0
1337b04rd/internal/services/postService.go:58.16,60.3 1 0
1337b04rd/internal/services/postService.go:62.2,64.40 2 0
1337b04rd/internal/services/postService.go:64.40,66.3 1 0
1337b04rd/internal/services/postService.go:68.2,68.36 1 0
1337b04rd/internal/services/postService.go:71.89,73.2 1 0
1337b04rd/internal/services/postService.go:75.83,77.2 1 0
1337b04rd/internal/services/postService.go:79.85,81.2 1 0
1337b04rd/internal/services/postService.go:83.63,85.2 1 0
1337b04rd/internal/services/userService.go:14.104,19.2 1 0
1337b04rd/internal/services/userService.go:21.79,24.16 3 0
1337b04rd/internal/services/userService.go:24.16,26.3 1 0
1337b04rd/internal/services/userService.go:28.2,30.16 3 0
1337b04rd/internal/services/userService.go:30.16,33.3 2 0
1337b04rd/internal/services/userService.go:35.2,35.70 1 0
1337b04rd/internal/services/userService.go:38.104,40.2 1 0
1337b04rd/internal/services/userService.go:42.98,44.2 1 0
1337b04rd/internal/domain/post.go:43.33,44.22 1 0
1337b04rd/internal/domain/post.go:44.22,46.3 1 0
1337b04rd/internal/domain/post.go:47.2,47.24 1 0
1337b04rd/internal/domain/post.go:47.24,49.3 1 0
1337b04rd/internal/domain/post.go:50.2,50.12 1 0
1337b04rd/internal/adapters/triples/triples.go:21.36,25.2 1 0
1337b04rd/internal/adapters/triples/triples.go:27.78,30.16 3 0
1337b04rd/internal/adapters/triples/triples.go:30.16,32.3 1 0
1337b04rd/internal/adapters/triples/triples.go:34.2,41.16 5 0
1337b04rd/internal/adapters/triples/triples.go:41.16,43.3 1 0
1337b04rd/internal/adapters/triples/triples.go:46.2,49.16 3 0
1337b04rd/internal/adapters/triples/triples.go:49.16,52.3 2 0
1337b04rd/internal/adapters/triples/triples.go:53.2,59.43 2 0
1337b04rd/internal/adapters/triples/triples.go:59.43,62.3 2 0
1337b04rd/internal/adapters/triples/triples.go:64.2,64.24 1 0
1337b04rd/internal/adapters/triples/triples.go:67.57,71.16 3 0
1337b04rd/internal/adapters/triples/triples.go:71.16,73.3 1 0
1337b04rd/internal/adapters/triples/triples.go:76.2,78.16 3 0
1337b04rd/internal/adapters/triples/triples.go:78.16,81.3 2 0
1337b04rd/internal/adapters/triples/triples.go:82.2,84.92 2 0
1337b04rd/internal/adapters/triples/triples.go:84.92,86.3 1 0
1337b04rd/internal/adapters/triples/triples.go:88.2,88.12 1 0
1337b04rd/internal/adapters/triples/triples.go:92.44,94.44 2 0
1337b04rd/internal/adapters/triples/triples.go:94.44,96.3 1 0
1337b04rd/internal/adapters/triples/triples.go:97.2,101.17 5 0
1337b04rd/internal/adapters/rickMorty/userOutlook.go:18.38,20.2 1 0
1337b04rd/internal/adapters/rickMorty/userOutlook.go:22.67,26.2 1 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:28.83,29.14 1 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:29.14,31.3 1 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:33.2,33.13 1 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:33.13,35.3 1 0
1337b04rd/internal/adapters/rickMorty/userOutlook.go:37.2,47.16 5 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:47.16,49.3 1 0
1337b04rd/internal/adapters/rickMorty/userOutlook.go:50.2,53.16 3 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:53.16,55.3 1 0
1337b04rd/internal/adapters/rickMorty/userOutlook.go:57.2,59.16 3 1
1337b04rd/internal/adapters/rickMorty/userOutlook.go:59.16,61.3 1 0
1337b04rd/internal/adapters/rickMorty/userOutlook.go:63.2,63.26 1 1
1337b04rd/internal/domain/post.go:43.33,44.22 1 0
1337b04rd/internal/domain/post.go:44.22,46.3 1 0
1337b04rd/internal/domain/post.go:47.2,47.24 1 0
1337b04rd/internal/domain/post.go:47.24,49.3 1 0
1337b04rd/internal/domain/post.go:50.2,50.12 1 0
